#,Ratio,Venue,City
?,1.90:1,"V-EPIQ, Sullurpeta","Sullurpeta, Andhra Pradesh"
?,1.90:1,"Broadway Cinemas EPIQ, Avinashi Road","Coimbatore, Tamil Nadu"
?,1.90:1,"Radiance Cinemas, Kochadai","Madurai, Tamil Nadu"
?,1.90:1,"Palaxi Cinemas: Hilite Mall, Thondayad","Kozhikode, Kerala"
?,1.90:1,"Vetri E Square EPIQ 1, Old Bus Stand","Thanjavur, Tamil Nadu"
?,1.90:1,"Vetri E Square EPIQ 2, Old Bus Stand","Thanjavur, Tamil Nadu"
?,1.90:1,"ART Cinemas EPIQ, Kukatpally","Hyderabad, Telangana"
?,1.90:1,"Rakki Cinemas, Ambattur","Chennai, Tamil Nadu"
?,1.90:1,"Palaxi Cinemas, Punkunnam","Thrissur, Kerala"
?,1.90:1,"E-Square Cinemas, Shivajinagar","Pune, Maharashtra"
?,1.90:1,"AAA Cinemas, Ameerpet","Hyderabad, Telangana"
?,1.90:1,"KAC, Udumalaipettai","Tiruppur, Tamil Nadu"
?,1.90:1,"Eminence Cinemas, Perundurai Road","Erode, Tamil Nadu"
?,1.90:1,"Grand Cinemas, Thally Road","Hosur, Tamil Nadu"
?,1.90:1,"Sakhti Cinemas, Muthukadai","Ranipet, Tamil Nadu"
?,1.90:1,"Aashirwad Cinemas, Kaloor","Kochi, Kerala"
