Audi No.,Aspect Ratio,Venue,City
??,1.85:1,"PVR: Mani Square, Maniktala","Kolkata, West Bengal"
?,2.39:1,"PVR: Phoenix Marketcity, Kurla","Mumbai, Maharashtra"
?,2.39:1,"PVR: Oberoi Mall, Goregaon","Mumbai, Maharashtra"
?,1.85:1,"PVR: Grand Highstreet, Hinjewadi","Pune, Maharashtra"
?,2.39:1,"PVR: Pacific Mall, NIT","Faridabad, Haryana"
?,2.39:1,"PVR: Superplex Mall of India, Sector 18","Noida, Uttar Pradesh"
?,2.39:1,"PVR: Gaur City, Noida Extension","Greater Noida, Uttar Pradesh"
?,1.85:1,"PVR: Cinemagic Unity One Elegante, Pitampura","Delhi, Delhi"
?,2.39:1,"PVR: Forum, Kanakpura Road","Bangalore, Karnataka"
?,2.39:1,"PVR: Orion Mall, Rajajinagar","Bangalore, Karnataka"
?,2.39:1,"PVR: Bhartiya Mall, Thanisandra","Bangalore, Karnataka"
?,2.39:1,"PVR: Inorbit, Gokul Road","Hubbali, Karnataka"
?,2.39:1,"PVR: VR Mall, Anna Nagar","Chennai, Tamil Nadu"
1,1.85:1,"PVR: CP67 Mall, Sector 67","Mohali, Punjab"
4,1.85:1,"PVR: Forum Mall, Maradu","Kochi, Kerala"
??,1.85:1,"PVR: Lakeshore, Rajendranagar","Hyderabad, Telangana"
??,2.39:1,"PVR: Inorbit, Madhapur","Hyderabad, Telangana"
?,2.39:1,"PVR: Brookefields Mall, Ram Nagar","Coimbatore, Tamil Nadu"
?,2.39:1,"PVR: Lulu Mall, Sushant Golf City","Lucknow, Uttar Pradesh"
?,2.39:1,"PVR: Rahul Raj Mall, Piplod","Surat, Gujarat"
